"Next Generation Accountability, 2014-15"

"FallOfYear","RptngDistrictName","ReportingDistrictCode","SchoolName","SchoolCode","SchoolOrgType","SchoolLowGrade","SchoolHighGrade","SchoolTitleIType","Category","TotalPoints","TotalPossiblePoints","OutcomeRatePct","FinalCategory","AchievementGapFlag","Ind1ELA_All_Rate","Ind1ELA_All_Points","Ind1ELA_All_PossiblePoints","Ind1ELA_HN_Rate","Ind1ELA_NHN_Rate","Ind1ELA_HN_Points","Ind1ELA_HN_PossiblePoints","Ind1Math_All_Rate","Ind1Math_All_Points","Ind1Math_All_PossiblePoints","Ind1Math_NHN_Rate","Ind1Math_HN_Rate","Ind1Math_HN_Points","Ind1Math_HN_PossiblePoints","Ind1Sci_All_Rate","Ind1Sci_All_Points","Ind1Sci_All_PossiblePoints","Ind1Sci_HN_Rate","Ind1Sci_NHN_Rate","Ind1Sci_HN_Points","Ind1Sci_HN_PossiblePoints","Ind1ELAGap","Ind1MathGap","Ind1SciGap","Ind2ELA_All_Rate","Ind2ELA_All_Points","Ind2ELA_All_Possiblepoints","Ind2Math_All_Rate","Ind2Math_All_Points","Ind2Math_All_Possiblepoints","Ind2ELA_HN_Rate","Ind2ELA_NHN_Rate","Ind2ELA_HN_Points","Ind2ELA_HN_Possiblepoints","Ind2Math_HN_Rate","Ind2Math_NHN_Rate","Ind2Math_HN_Points","Ind2Math_HN_Possiblepoints","Ind2LEP_LTCY_Rate","Ind2LEP_LTCY_Points","Ind2LEP_LTCY_PossiblePoints","Ind2LEP_ORAL_Rate","Ind2LEP_ORAL_Points","Ind2LEP_ORAL_PossiblePoints","Ind3PartRateFlag","Ind3ELA_All_Rate","Ind3ELA_HN_Rate","Ind3ELA_NHN_Rate","Ind3Math_All_Rate","Ind3Math_HN_Rate","Ind3Math_NHN_Rate","Ind3Sci_All_Rate","Ind3Sci_HN_Rate","Ind3Sci_NHN_Rate","Ind4Rate","Ind4Points","Ind4PossiblePoints","Ind4HNRate","Ind4HNPoints","Ind4HNPossiblePoints","Ind5Rate","Ind5Points","Ind5PossiblePoints","Ind6Rate","Ind6Points","Ind6PossiblePoints","Ind7Rate","Ind7points","Ind7PointsPossible","Ind8Rate","Ind8Points","Ind8PointsPossible","GradGapFlag","Ind9Rate","Ind9Points","Ind9PointsPossible","Ind10Rate","Ind10Points","Ind10PossiblePoints","Ind11FitnessRate","Ind11ParticipationRate","Ind11Points","Ind11PossiblePoints","Ind12Rate","Ind12Points","Ind12PossiblePoints","Grad6YrRateHN","Grad6YrRateNHN","Grad6YrHNNHNDiff","Hurdle_Mean_ELA","Hurdle_Mean_Math","Hurdle_Mean_Sci","Hurdle_Means_Grad","CategoryDropFlag","Support","SupportCategory","Distinction","DistinctionCategory","Perform","ELA_ALL_YN","Math_ALL_YN","ELA_HN_YN","Math_HN_YN","Improve","schoolyear"
2014.000000,"Hampton School District","=""0630011""","District","=""0000000""","District","District","District",,"DistrictTot",317.726905,350.000000,90.779116,".",0.000000,71.220611,94.960815,100.000000,".",75.000000,".",0.000000,64.973798,86.631730,100.000000,72.418413,".",".",0.000000,".",".",0.000000,".",".",".",0.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",1.000000,0.916667,0.857143,0.962963,0.895833,0.857143,0.925926,".",".",".",0.068182,46.363636,50.000000,0.085714,42.857143,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.703704,1.038462,46.913580,50.000000,".",".",".",".",".",".",17.263975,19.631525,17.168862,".",".",,,,,".",".",".",".",".",".","2014-15"
2014.000000,"Hartford School District","=""0640011""","District","=""0000000""","District","District","District",,"DistrictTot",762.690208,1250.000000,61.015217,".",1.000000,54.305663,72.407551,100.000000,51.943937,70.757390,69.258582,100.000000,45.234580,60.312774,100.000000,61.465944,42.887270,57.183026,100.000000,44.128145,58.837527,100.000000,41.426577,60.412842,55.235436,100.000000,18.810000,18.570000,18.980000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",1.000000,0.939815,0.939142,0.944486,0.938975,0.937858,0.946856,0.972377,0.968184,0.998395,0.256540,8.692083,50.000000,0.283219,3.356243,50.000000,0.561348,37.423233,50.000000,0.126225,8.415001,50.000000,0.723952,38.508090,50.000000,0.715328,76.098773,100.000000,1.000000,0.735703,78.266303,100.000000,0.585000,78.061064,100.000000,0.448814,0.781336,14.960466,50.000000,0.548089,45.674056,50.000000,0.735703,0.940000,0.204297,17.263975,19.631525,17.168862,15.161501,".",,,,,".",".",".",".",".",".","2014-15"
2014.000000,"North Canaan School District","=""1000011""","District","=""0000000""","District","District","District",,"DistrictTot",627.725868,800.000000,78.465734,".",0.000000,68.260497,91.013996,100.000000,60.831117,73.030940,81.108156,100.000000,60.856631,81.142174,100.000000,65.057037,54.315014,72.420019,100.000000,57.268095,76.357460,100.000000,51.211111,61.810833,68.281481,100.000000,12.190000,10.740000,10.590000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",1.000000,0.957576,0.926471,0.979381,0.957576,0.926471,0.979381,1.000000,1.000000,1.000000,0.059701,48.059701,50.000000,0.099010,40.198020,50.000000,".",".",".",".",".",".",0.896552,47.688921,50.000000,".",".",".",".",".",".",".",".",".",".",0.321839,0.935484,21.455939,50.000000,".",".",".",".",".",".",17.263975,19.631525,17.168862,".",".",,,,,".",".",".",".",".",".","2014-15"
2014.000000,"North Haven School District","=""1010011""","District","=""0000000""","District","District","District",,"DistrictTot",967.338103,1250.000000,77.387048,".",0.000000,67.125188,89.500251,100.000000,55.986856,70.951728,74.649141,100.000000,61.919111,82.558815,100.000000,65.509726,51.470128,68.626838,100.000000,59.530602,79.374135,100.000000,48.423153,63.182881,64.564204,100.000000,14.960000,14.030000,14.750000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",1.000000,0.827098,0.854875,0.817838,0.820498,0.848758,0.811036,0.992424,0.975124,0.998308,0.174808,25.038402,50.000000,0.222930,15.414013,50.000000,0.655296,43.686415,50.000000,0.384201,25.613405,50.000000,0.967677,50.000000,50.000000,0.884375,94.082447,100.000000,0.000000,0.811594,86.339809,100.000000,0.788000,100.000000,100.000000,0.526144,0.931034,35.076253,50.000000,0.393768,32.813975,50.000000,0.811594,0.940000,0.128406,17.263975,19.631525,17.168862,15.161501,".",,,,,".",".",".",".",".",".","2014-15"
2014.000000,"North Stonington School District","=""1020011""","District","=""0000000""","District","District","District",,"DistrictTot",998.709690,1150.000000,86.844321,".",1.000000,73.798562,98.398083,100.000000,58.864093,75.000000,78.485458,100.000000,68.571922,91.429229,100.000000,72.056524,56.790647,75.720863,100.000000,65.734740,87.646319,100.000000,51.652928,69.970732,68.870571,100.000000,16.130000,15.260000,18.310000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.000000,0.981771,0.956044,0.989761,0.981771,0.956044,0.989761,1.000000,1.000000,1.000000,0.018207,50.000000,50.000000,0.039106,50.000000,50.000000,0.914894,50.000000,50.000000,0.436170,29.078014,50.000000,0.969697,50.000000,50.000000,0.964286,100.000000,100.000000,0.000000,".",".",".",0.661000,88.095238,100.000000,0.464789,0.930131,30.985915,50.000000,0.611111,50.000000,50.000000,".",".",".",17.263975,19.631525,17.168862,15.161501,".",,,,,".",".",".",".",".",".","2014-15"
2014.000000,"Norwalk School District","=""1030011""","District","=""0000000""","District","District","District",,"DistrictTot",973.628968,1250.000000,77.890317,".",0.000000,64.742277,86.323035,100.000000,58.376795,73.346558,77.835727,100.000000,54.514402,72.685870,100.000000,62.869152,48.326385,64.435180,100.000000,54.603757,72.805010,100.000000,47.978857,62.836944,63.971809,100.000000,14.960000,14.540000,14.850000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.000000,0.983758,0.979890,0.988953,0.982131,0.978660,0.986917,0.987251,0.984375,0.990926,0.082936,43.412791,50.000000,0.103739,39.252188,50.000000,0.788628,50.000000,50.000000,0.274413,18.294190,50.000000,0.888754,47.274138,50.000000,0.838200,89.170161,100.000000,0.000000,0.822323,87.481219,100.000000,0.756000,100.000000,100.000000,0.509472,0.755941,16.982400,50.000000,0.524463,43.705251,50.000000,0.822323,0.939815,0.117491,17.263975,19.631525,17.168862,15.161501,".",,,,,".",".",".",".",".",".","2014-15"
2014.000000,"Sterling School District","=""1360011""","District","=""0000000""","District","District","District",,"DistrictTot",591.246224,800.000000,73.905778,".",1.000000,64.750315,86.333754,100.000000,54.539797,72.150073,72.719729,100.000000,53.221445,70.961927,100.000000,59.201401,44.840090,59.786786,100.000000,52.274320,69.699093,100.000000,45.519630,58.009434,60.692840,100.000000,17.610000,14.360000,12.480000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.000000,0.990625,0.985714,0.994444,0.984375,0.971429,0.994444,1.000000,1.000000,1.000000,0.069663,46.067416,50.000000,0.117949,36.410256,50.000000,".",".",".",".",".",".",0.978261,50.000000,50.000000,".",".",".",".",".",".",".",".",".",".",0.578616,0.935294,38.574423,50.000000,".",".",".",".",".",".",17.263975,19.631525,17.168862,".",".",,,,,".",".",".",".",".",".","2014-15"
2014.000000,"Stonington School District","=""1370011""","District","=""0000000""","District","District","District",,"DistrictTot",1010.656827,1250.000000,80.852546,".",0.000000,74.075092,98.766789,100.000000,61.203211,75.000000,81.604282,100.000000,67.439992,89.919989,100.000000,73.458910,55.235990,73.647987,100.000000,60.098892,80.131856,100.000000,50.633483,64.589583,67.511311,100.000000,13.790000,18.220000,13.950000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",1.000000,0.845833,0.887139,0.826618,0.838468,0.879265,0.819512,0.996176,0.988304,1.000000,0.083710,43.257919,50.000000,0.171296,25.740741,50.000000,0.542416,36.161097,50.000000,0.437018,29.134533,50.000000,0.972299,50.000000,50.000000,0.932203,99.170573,100.000000,0.000000,0.886364,94.294004,100.000000,0.728000,97.041420,100.000000,0.652733,0.884780,21.757771,50.000000,0.270199,22.516556,50.000000,0.886364,0.940000,0.053636,17.263975,19.631525,17.168862,15.161501,".",,,,,".",".",".",".",".",".","2014-15"
2014.000000,"Stratford School District","=""1380011""","District","=""0000000""","District","District","District",,"DistrictTot",944.889345,1250.000000,75.591148,".",0.000000,66.784117,89.045489,100.000000,59.811863,74.570001,79.749151,100.000000,52.808375,70.411167,100.000000,60.026392,46.353695,61.804927,100.000000,54.433134,72.577512,100.000000,48.737227,60.423267,64.982969,100.000000,14.750000,13.670000,11.680000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.000000,0.983198,0.986125,0.979899,0.981414,0.984737,0.977641,0.992500,0.990431,0.994764,0.102549,39.490168,50.000000,0.142010,31.597967,50.000000,0.503250,33.549985,50.000000,0.265552,17.703497,50.000000,0.920038,48.938172,50.000000,0.919505,97.819643,100.000000,0.000000,0.827957,88.080531,100.000000,0.738000,98.360656,100.000000,0.602273,0.899210,20.075758,50.000000,0.368421,30.701754,50.000000,0.827957,0.940000,0.112043,17.263975,19.631525,17.168862,15.161501,".",,,,,".",".",".",".",".",".","2014-15"
2014.000000,"Berlin School District","=""0070011""","District","=""0000000""","District","District","District",,"DistrictTot",1047.956816,1250.000000,83.836545,".",1.000000,68.902909,91.870545,100.000000,54.836597,73.155245,73.115463,100.000000,63.956323,85.275098,100.000000,68.392906,49.240445,65.653927,100.000000,62.415925,83.221234,100.000000,51.211905,65.593493,68.282540,100.000000,18.310000,19.150000,14.380000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.000000,0.992574,0.977099,0.997547,0.992570,0.974555,0.998363,0.998573,0.993671,1.000000,0.059707,48.058659,50.000000,0.158133,28.373494,50.000000,0.742004,49.466951,50.000000,0.437100,29.140014,50.000000,0.966368,50.000000,50.000000,0.948936,100.000000,100.000000,0.000000,0.967742,100.000000,100.000000,0.881000,100.000000,100.000000,0.646522,0.902263,43.101482,50.000000,0.388769,32.397408,50.000000,0.967742,0.940000,-0.027742,17.263975,19.631525,17.168862,15.161501,".",,,,,".",".",".",".",".",".","2014-15"
