"Per Pupil Expenditures by Function (District), 2017-18"
"State of Connecticut"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"State of Connecticut","=""0000000""","Instruction","$5,831,243,470",563772,1,"$10,343"
"State of Connecticut","=""0000000""","Support services - students","$710,355,407",528248,2,"$1,345"
"State of Connecticut","=""0000000""","Support services - instruction","$333,287,292",528248,2,"$631"
"State of Connecticut","=""0000000""","Support services - general administration","$239,106,928",528248,2,"$453"
"State of Connecticut","=""0000000""","Support services - school based administration","$520,992,648",528248,2,"$986"
"State of Connecticut","=""0000000""","Central and other support services","$347,098,992",528248,2,"$657"
"State of Connecticut","=""0000000""","Operation and maintenance of plant","$843,128,591",528248,2,"$1,596"
"State of Connecticut","=""0000000""","Student transportation services","$537,996,283",437140,3,"$1,231"
"State of Connecticut","=""0000000""","Food services","$6,983,808",528248,2,"$13"
"State of Connecticut","=""0000000""","Enterprise operations","$81,173,076",528248,2,"$154"
"State of Connecticut","=""0000000""","Minor school construction","$0",528248,2,"$0"
"State of Connecticut","=""0000000""","Total","$9,484,954,084",563772,1,"$16,824"

