"Performance Index, 2016-17"
"State of Connecticut"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"State of Connecticut","All Students","State",272109,67.1,271376,62.2,118940,55.3
"State of Connecticut","English Language Learners (EL)","English Learners",27620,53.1,27525,49.9,10420,40.6
"State of Connecticut","English Language Learners (EL)","Not English Learners",244489,68.6,243851,63.5,108520,56.7
"State of Connecticut","Gender","Female",132608,69.6,132267,62.3,57692,55.3
"State of Connecticut","Gender","Male",139501,64.6,139109,62.0,61248,55.3
"State of Connecticut","Grade","03",37792,68.8,37716,63.9,"N/A","N/A"
"State of Connecticut","Grade","04",39000,71.5,38932,67.1,"N/A","N/A"
"State of Connecticut","Grade","05",38657,68.4,38573,65.5,38828,55.5
"State of Connecticut","Grade","06",39038,69.4,38892,62.6,"N/A","N/A"
"State of Connecticut","Grade","07",39199,67.3,39027,60.7,"N/A","N/A"
"State of Connecticut","Grade","08",40052,64.3,39870,59.4,40429,55.8
"State of Connecticut","Grade","10","N/A","N/A","N/A","N/A",39683,54.7
"State of Connecticut","Grade","11",38371,59.7,38366,56.2,"N/A","N/A"
"State of Connecticut","High Needs (F/R, EL or SWD)","High Needs",125080,55.9,124562,50.5,52949,45.2
"State of Connecticut","High Needs (F/R, EL or SWD)","Not High Needs",147029,76.5,146814,72.1,65991,63.4
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",98541,56.2,98137,50.5,41380,45.2
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",173568,73.2,173239,68.8,77560,60.7
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Free",86121,55.2,85738,49.4,36068,44.3
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Non-Subsidized",173568,73.2,173239,68.8,77560,60.7
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Reduced",12420,62.8,12399,57.9,5312,51.4
"State of Connecticut","Race/Ethnicity","American Indian or Alaska Native",709,61.5,708,56.2,324,50.1
"State of Connecticut","Race/Ethnicity","Asian",13759,78.1,13744,77.7,5742,64.3
"State of Connecticut","Race/Ethnicity","Black or African American",34384,55.3,34250,48.4,15031,43.1
"State of Connecticut","Race/Ethnicity","Hispanic or Latino",63529,56.6,63271,51.1,26841,45.3
"State of Connecticut","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",255,67.9,254,63.3,117,56.3
"State of Connecticut","Race/Ethnicity","Two or More Races",7759,69.6,7739,64.2,3175,57.1
"State of Connecticut","Race/Ethnicity","White",151714,73.0,151410,68.4,67710,61.2
"State of Connecticut","Special Education Status (SWD)","Students with Disabilities",39045,47.0,38817,41.6,17521,40.5
"State of Connecticut","Special Education Status (SWD)","Students without Disabilities",233064,70.4,232559,65.6,101419,57.9

