"Performance Index, 2018-19"
"All Districts"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","District Code","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"Andover School District","=""0010011""","All Students","District",98,81.0,98,76.5,28,79.2
"Andover School District","=""0010011""","English Language Learners (EL)","English Learners",6,"*",6,"*","*","*"
"Andover School District","=""0010011""","English Language Learners (EL)","Not English Learners",92,81.3,92,76.6,"*","*"
"Andover School District","=""0010011""","Gender","Female",52,86.5,52,77.7,15,"*"
"Andover School District","=""0010011""","Gender","Male",46,74.8,46,75.2,13,"*"
"Andover School District","=""0010011""","Grade","03",22,80.2,22,73.2,"N/A","N/A"
"Andover School District","=""0010011""","Grade","04",21,78.7,21,73.1,"N/A","N/A"
"Andover School District","=""0010011""","Grade","05",28,79.3,28,79.1,28,79.2
"Andover School District","=""0010011""","Grade","06",27,85.1,27,79.2,"N/A","N/A"
"Andover School District","=""0010011""","High Needs (F/R, EL or SWD)","High Needs",27,75.6,27,76.5,12,"*"
"Andover School District","=""0010011""","High Needs (F/R, EL or SWD)","Not High Needs",71,83.0,71,76.5,16,"*"
"Andover School District","=""0010011""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",18,"*",18,"*",6,"*"
"Andover School District","=""0010011""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",80,81.9,80,76.3,22,76.8
"Andover School District","=""0010011""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*"
"Andover School District","=""0010011""","Race/Ethnicity","Two or More Races","*","*","*","*","N/A","N/A"
"Andover School District","=""0010011""","Race/Ethnicity","White",85,82.1,85,76.6,"*","*"
"Andover School District","=""0010011""","Special Education Status (SWD)","Students with Disabilities",7,"*",7,"*","*","*"
"Andover School District","=""0010011""","Special Education Status (SWD)","Students without Disabilities",91,82.6,91,77.2,"*","*"
"Ansonia School District","=""0020011""","All Students","District",1144,59.0,1141,53.6,464,52.9
"Ansonia School District","=""0020011""","English Language Learners (EL)","English Learners",76,57.5,76,54.8,26,47.2
"Ansonia School District","=""0020011""","English Language Learners (EL)","Not English Learners",1068,59.1,1065,53.5,438,53.3
"Ansonia School District","=""0020011""","Gender","Female",548,61.6,548,54.0,228,54.6
"Ansonia School District","=""0020011""","Gender","Male",596,56.6,593,53.2,236,51.3
"Ansonia School District","=""0020011""","Grade","03",166,68.2,165,62.4,"N/A","N/A"
"Ansonia School District","=""0020011""","Grade","04",170,62.2,170,57.8,"N/A","N/A"
"Ansonia School District","=""0020011""","Grade","05",161,56.4,161,55.9,161,54.5
"Ansonia School District","=""0020011""","Grade","06",180,60.0,180,54.9,"N/A","N/A"
"Ansonia School District","=""0020011""","Grade","07",161,61.0,160,52.6,"N/A","N/A"
"Ansonia School District","=""0020011""","Grade","08",164,53.9,163,45.8,161,52.7
"Ansonia School District","=""0020011""","Grade","11",142,49.3,142,44.0,142,51.3
"Ansonia School District","=""0020011""","High Needs (F/R, EL or SWD)","High Needs",830,56.0,827,50.6,338,50.2
"Ansonia School District","=""0020011""","High Needs (F/R, EL or SWD)","Not High Needs",314,66.9,314,61.5,126,60.3
"Ansonia School District","=""0020011""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",753,56.6,750,51.4,309,51.2
"Ansonia School District","=""0020011""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",391,63.5,391,57.9,155,56.4
"Ansonia School District","=""0020011""","Race/Ethnicity","Asian","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Race/Ethnicity","Black or African American",208,51.7,207,46.5,84,46.2
"Ansonia School District","=""0020011""","Race/Ethnicity","Hispanic or Latino",436,57.5,436,52.1,161,50.0
"Ansonia School District","=""0020011""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Race/Ethnicity","Two or More Races",61,64.1,61,56.0,18,"*"
"Ansonia School District","=""0020011""","Race/Ethnicity","White",414,62.8,412,57.6,189,56.7
"Ansonia School District","=""0020011""","Special Education Status (SWD)","Students with Disabilities",229,42.8,228,37.2,96,40.0
"Ansonia School District","=""0020011""","Special Education Status (SWD)","Students without Disabilities",915,63.0,913,57.7,368,56.3
"Ashford School District","=""0030011""","All Students","District",243,70.4,240,63.0,87,73.8
"Ashford School District","=""0030011""","English Language Learners (EL)","English Learners","*","*","*","*","*","*"
"Ashford School District","=""0030011""","English Language Learners (EL)","Not English Learners","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Gender","Female",127,76.8,125,64.5,54,76.5
"Ashford School District","=""0030011""","Gender","Male",116,63.3,115,61.4,33,69.5
"Ashford School District","=""0030011""","Grade","03",46,68.6,46,66.2,"N/A","N/A"
"Ashford School District","=""0030011""","Grade","04",39,70.5,39,64.6,"N/A","N/A"
"Ashford School District","=""0030011""","Grade","05",43,70.2,43,62.7,43,74.1
"Ashford School District","=""0030011""","Grade","06",30,69.2,28,61.0,"N/A","N/A"
"Ashford School District","=""0030011""","Grade","07",41,68.6,40,60.8,"N/A","N/A"
"Ashford School District","=""0030011""","Grade","08",44,74.6,44,61.9,44,73.6
"Ashford School District","=""0030011""","High Needs (F/R, EL or SWD)","High Needs",117,62.6,116,56.6,42,69.8
"Ashford School District","=""0030011""","High Needs (F/R, EL or SWD)","Not High Needs",126,77.6,124,69.0,45,77.6
"Ashford School District","=""0030011""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",100,65.0,99,57.6,34,72.1
"Ashford School District","=""0030011""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",143,74.1,141,66.8,53,75.0
