Body,Name,Role,Term expires,Party,Person,PrimarySeat,Notes
Board of Assessment Appeals,Linda Armstrong,Member,2027-11-16,D,Linda Armstrong,1,
Board of Assessment Appeals,Alan Roy,Member,2027-11-16,R,Alan Roy,1,
Board of Assessment Appeals,Emily Timreck,Member,2027-11-16,U,Emily Timreck,1,
Board of Finance,Robert England,Chair,2029-11-20,D,Robert England,1,
Board of Finance,Liz Lokiec,Vice-Chair,2027-11-16,R,Liz Lokiec,1,
Board of Finance,William Desrosiers,Member,2027-11-16,R,William Desrosiers,1,same person as ZBA Desrosiers; counted here
Board of Finance,Louise Goodwin,Member,2027-11-16,D,Louise Goodwin,1,
Board of Finance,Kimberly Person,Member,2027-11-16,R,Kimberly Person,1,
Board of Finance,Nicholas Clark,Member,2029-11-20,D,Nicholas Clark,1,
Board of Finance,Heather Van Cara,Member,2029-11-20,U,Heather Van Cara,1,
Board of Education AES,Caitlin Greenhouse,Chair,2027-11-16,U,Caitlin Greenhouse,1,
Board of Education AES,Gerard Creme,Member,2029-11-20,D,Gerard Creme,1,
Board of Education AES,Brianne Lanzieri,Member,2027-11-16,R,Brianne Lanzieri,1,
Board of Education AES,Shannon O'Neill Louden,Member,2027-11-16,D,Shannon O'Neill Louden,1,
Board of Education AES,Marcie Miner,Member,2029-11-20,R,Marcie Miner,1,
Board of Education AES,Sharon St. Rock,Member,2029-11-20,U,Sharon St. Rock,1,
Board of Education AES,Alicia Lee,Member,2027-11-16,R,Alicia Lee,1,
Board of Education Region 8 RHAM,Scott Sauyet,Member,2027-11-16,D,Scott Sauyet,1,
Board of Education Region 8 RHAM,Kirsten Erlandsen,Member,2027-11-16,unregistered,Kirsten Erlandsen,1,
Board of Fire Commissioners,"Wallace Barton, Jr.",Chair,2027-11-16,R,Wallace Barton,1,same person as Registrar W.E. Barton; counted here
Board of Fire Commissioners,Mark S. Williams,Member,2027-11-16,D,Mark S. Williams,1,
Board of Fire Commissioners,Scott E. Yeomans,Member,2029-11-20,D,Scott E. Yeomans,1,
Board of Fire Commissioners,Shawn Covell,Member,2029-11-20,R,Shawn Covell,1,
Board of Fire Commissioners,Kim Hawes,Member,2027-11-16,D,Kim Hawes,1,
Planning and Zoning Commission,Patrick Ira Dougherty,Chair,2029-11-20,D,Patrick Ira Dougherty,1,
Planning and Zoning Commission,Leigh Ann Hutchinson,Vice-Chair,2029-11-20,R,Leigh Ann Hutchinson,1,
Planning and Zoning Commission,(William) Jed Larson,Member,2027-11-16,R,(William) Jed Larson,1,
Planning and Zoning Commission,Jay Kamins,Member,2027-11-16,D,Jay Kamins,1,
Planning and Zoning Commission,Scott R. Person,Member,2027-11-16,D,Scott Person,1,same person as Selectman Scott Person (D); tier-one filler
Planning and Zoning Commission,Kevin Arnesen,Alternate,2027-11-16,R,Kevin Arnesen,1,
Planning and Zoning Commission,Annmarie Daigle,Alternate,2027-11-16,D,Annmarie Daigle,1,
Planning and Zoning Commission,(vacant),Alternate,2029-11-20,,,,
Zoning Board of Appeals,Fred Oliver,Chair,2027-11-16,U,Fred Oliver,1,
Zoning Board of Appeals,William Desrosiers,Member,2027-11-16,R,William Desrosiers,0,same person as BOF Desrosiers; duplicate
Zoning Board of Appeals,Kathleen Skorka,Member,2027-11-16,R,Kathleen Skorka,1,
Zoning Board of Appeals,Michael Greenhouse,Member,2029-11-20,D,Michael Greenhouse,1,
Zoning Board of Appeals,Julia Haverl,Member,2029-11-20,D,Julia Haverl,1,
Zoning Board of Appeals,Joan Ross,Alternate,2027-11-16,R,Joan Ross,1,
Zoning Board of Appeals,Jeffrey Ballard,Alternate,2029-11-20,D,Jeffrey Ballard,1,
Registrar of Voters,Wallace E. Barton,Registrar,,R,Wallace Barton,0,same person as Fire Commissioner Barton; duplicate
Registrar of Voters,Linda Derrick,Registrar,,D,Linda Derrick,1,
Town Clerk,Roberta Dougherty,Town Clerk,,U,Roberta Dougherty,1,
