"legislator","party","coord1D","rank"
"DAUPHINAIS","R",1,1
"FISHBEIN","R",1,2
"MASTROFRANCESCO","R",1,3
"PISCOPO","R",0.976448774337769,4
"DUBITSKY","R",0.940925061702728,5
"PAVALOCK-D'AMATO","R",0.937010228633881,6
"REDDINGTON-HUGHES","R",0.934674441814423,7
"VEACH","R",0.913168668746948,8
"VAIL","R",0.883570849895477,9
"ANDERSON","R",0.877979695796967,10
"WEIR","R",0.876888632774353,11
"DECAPRIO","R",0.865983307361603,12
"CANINO","R",0.850182771682739,13
"CASE","R",0.810149729251862,14
"HOXHA","R",0.801713407039642,15
"LANOUE","R",0.798326849937439,16
"ZUPKUS","R",0.790589094161987,17
"HAINES","R",0.783818066120148,18
"CANDELORA, V.","R",0.77230829000473,19
"ZAWISTOWSKI","R",0.765654265880585,20
"JENSEN","R",0.759536266326904,21
"BUCKBEE","R",0.752310335636139,22
"NUCCIO","R",0.716227054595947,23
"POLLETTA","R",0.696018755435944,24
"FONCELLO","R",0.695518434047699,25
"PIZZUTO","R",0.69174724817276,26
"ROMANO","R",0.689801335334778,27
"CALLAHAN","R",0.680442690849304,28
"BOLINSKY","R",0.672455370426178,29
"SCOTT","R",0.672061026096344,30
"COURPAS","R",0.671066999435425,31
"KLARIDES-DITRIA","R",0.660952270030975,32
"MCGORTY, B.","R",0.652988195419312,33
"KENNEDY","R",0.644445180892944,34
"STEWART","R",0.63884973526001,35
"MARRA","R",0.63506019115448,36
"BRONKO","R",0.623559355735779,37
"RUTIGLIANO","R",0.619612991809845,38
"HALL, C.","R",0.616291224956512,39
"ZULLO","R",0.612930953502655,40
"ACKERT","R",0.607345521450043,41
"O'DEA","R",0.605854094028473,42
"CARPINO","R",0.605056881904602,43
"HOWARD","R",0.598336219787598,44
"BUCHSBAUM","R",0.576218485832214,45
"ANISKOVICH","R",0.567253530025482,46
"YACCARINO","R",0.535357177257538,47
"CARNEY","R",0.50617253780365,48
"DELNICKI","R",0.424926042556763,49
"DIGIOVANCARLO","D",-0.392572343349457,50
"BARRY","D",-0.448515087366104,51
"POULOS","D",-0.454668253660202,52
"BOYD","D",-0.503083288669586,53
"GONZALEZ","D",-0.542611956596375,54
"WOOD","D",-0.551316022872925,55
"MESKERS","D",-0.554562449455261,56
"HEFFERNAN","D",-0.570647656917572,57
"REYES","D",-0.60717785358429,58
"SANTANELLA","D",-0.629243850708008,59
"ARZENO","D",-0.636677980422974,60
"NAPOLI","D",-0.641139507293701,61
"ALLIE-BRENNAN","D",-0.657087624073029,62
"QUINN","D",-0.66210526227951,63
"FOSTER","D",-0.690217792987823,64
"GRESKO","D",-0.736284852027893,65
"MCGEE","D",-0.736585974693298,66
"CONSTANTINE","D",-0.750633358955383,67
"RYAN","D",-0.754671335220337,68
"OSBORNE","D",-0.75508314371109,69
