district,legislator,party,dem_share,rep_share,coord1D,cons_rank
1,Matthew Ritter,D,0.8884,0.1116,-0.7692,76
2,Raghib Allie-Brennan,D,0.5544,0.4456,-0.6326,62
3,Minnie Gonzalez,D,0.8884,0.1116,-0.4781,54
4,Julio A. Concepcion,D,0.8884,0.1116,-0.7872,81
5,Maryam Khan,D,0.7752,0.2248,-0.8666,126
6,James “Jimmy” Sanchez,D,0.8747,0.1253,-0.8170,97
7,Joshua M. Hall,D,0.8884,0.1116,-0.8991,134
8,Timothy Ackert,R,0.535,0.465,0.6234,43
9,Jason Rojas,D,0.6972,0.3028,-0.8242,110
10,Henry J. Genga,D,0.7259,0.2741,-0.7755,78
11,Patrick Biggins,D,0.7078,0.2922,-0.8045,88
12,Geoffrey Luxenberg,D,0.6691,0.3309,-0.9186,140
13,Jason Doucette,D,0.6487,0.3513,-0.8042,87
14,Tom Delnicki,R,0.6156,0.3844,0.4271,49
15,Bobby G. Gibson,D,0.8398,0.1602,-0.7454,72
16,Melissa Osborne,D,0.6012,0.3988,-0.7205,68
17,Eleni Kavros DeGraw,D,0.5637,0.4363,-0.9706,148
18,Jillian Gilchrest,D,0.7368,0.2632,-0.9070,136
19,Tammy R. Exum,D,0.7041,0.2959,-0.9082,137
20,Kate Farrar,D,0.682,0.318,-1.0000,151
21,Mike Demicco,D,0.574,0.426,-0.9270,142
22,Rebecca Martinez,D,0.5079,0.4921,-1.0000,152
23,Devin R. Carney,R,0.5912,0.4088,0.5128,48
24,Emmanuel “Manny” Sanchez,D,0.6827,0.3173,-0.8151,94
25,Iris N Sanchez,D,0.6827,0.3173,-0.8213,103
26,David DeFronzo,D,0.6827,0.3173,-0.7723,77
27,Gary Turco,D,0.6011,0.3989,-0.8783,130
28,Amy Morrin Bello,D,0.5864,0.4136,-0.8607,124
29,Kerry Szeps Wood,D,0.5682,0.4318,-0.5220,55
30,Donna M. Veach,R,0.4845,0.5155,0.9309,8
31,Jill Barry,D,0.6037,0.3963,-0.4229,51
32,Christie M. Carpino,R,0.5518,0.4482,0.6272,42
33,Brandon Chafee,D,0.656,0.344,-1.0000,150
34,Irene Haines,R,0.525,0.475,0.7961,18
35,Chris Aniskovich,R,0.5514,0.4486,0.5830,46
36,Renee LaMark Muir,D,0.589,0.411,-0.8228,106
37,Nick Menapace,D,0.6073,0.3927,-0.8696,127
38,Nick Gauthier,D,0.5815,0.4185,-0.9598,147
39,Anthony Nolan,D,0.7797,0.2203,-0.8454,119
40,Daniel Gaiewski,D,0.6628,0.3372,-0.8117,93
41,Aundré Bumgardner,D,0.6459,0.3541,-0.8001,85
42,Savet Constantine,D,0.5807,0.4193,-0.7129,67
43,Greg Howard,R,0.5941,0.4059,0.6175,44
44,Anne Dubay Dauphinais,R,0.4553,0.5447,1.0000,1
45,Brian Lanoue,R,0.4943,0.5057,0.8270,15
46,Derell Wilson,D,0.6412,0.3588,-0.8290,113
47,Doug Dubitsky,R,0.4921,0.5079,0.9483,6
48,Mark DeCaprio,R,0.5384,0.4616,0.8836,12
49,Susan M. Johnson,D,0.6817,0.3183,-0.8179,99
50,Patrick S. Boyd,D,0.5433,0.4567,-0.4747,53
51,Chris Stewart,R,0.4807,0.5193,0.6883,31
52,Kurt Vail,R,0.4725,0.5275,0.8932,10
53,Tammy Nuccio,R,0.5633,0.4367,0.7261,23
54,Gregory Haddad,D,0.7726,0.2274,-0.9093,138
55,Steve Weir,R,0.5451,0.4549,0.8851,11
56,Kevin Brown,D,0.6096,0.3904,-0.8229,107
57,Jaime S. Foster,D,0.5282,0.4718,-0.6561,64
58,John Santanella,D,0.5514,0.4486,-0.6032,60
59,Carol Hall,R,0.5462,0.4538,0.6323,40
60,Jane Garibay,D,0.681,0.319,-0.8615,125
61,Tami Zawistowski,R,0.5165,0.4835,0.7847,19
62,Mark W. Anderson,R,0.4864,0.5136,0.8961,9
63,Jay M. Case,R,0.4477,0.5523,0.8402,14
64,Maria Horn,D,0.6273,0.3727,-0.7800,80
65,Joe Canino,R,0.4465,0.5535,0.8772,13
66,Karen Reddington-Hughes,R,0.4633,0.5367,0.9489,5
67,William Buckbee,R,0.4999,0.5001,0.7776,21
68,Joe Polletta,R,0.3792,0.6208,0.7092,26
69,Jason Buchsbaum,R,0.4966,0.5034,0.5855,45
70,Seth Bronko,R,0.4742,0.5258,0.6429,37
71,William J. Pizzuto,R,0.5413,0.4587,0.7161,24
72,Larry B. Butler,D,0.5969,0.4031,-0.7302,70
73,"Ronald A. Napoli, Jr.",D,0.5969,0.4031,-0.6149,61
74,Michael DiGiovancarlo,D,0.5969,0.4031,-0.3921,50
75,Geraldo C. Reyes Jr.,D,0.5969,0.4031,-0.5764,58
76,John Piscopo,R,0.4165,0.5835,0.9943,4
77,Cara C. Pavalock-D'Amato,R,0.5303,0.4697,0.9481,7
78,Joe Hoxha,R,0.4613,0.5387,0.7984,17
79,Mary B. Fortier,D,0.5303,0.4697,-0.8286,112
80,Gale L. Mastrofrancesco,R,0.3896,0.6104,1.0000,3
81,Christopher Poulos,D,0.4868,0.5132,-0.4358,52
82,Michael D. Quinn,D,0.6013,0.3987,-0.6346,63
83,Jonathan Fazzino,D,0.5617,0.4383,-0.8357,115
84,Hilda E. Santiago,D,0.6013,0.3987,-0.8115,92
85,Mary M. Mushinsky,D,0.5357,0.4643,-0.8067,89
86,Vincent J. Candelora,R,0.4913,0.5087,0.7732,22
87,David W. Yaccarino,R,0.4951,0.5049,0.5430,47
88,Joshua Elliott,D,0.7375,0.2625,-0.9299,143
89,Lezlye Zupkus,R,0.4675,0.5325,0.8164,16
90,Craig C. Fishbein,R,0.5316,0.4684,1.0000,2
91,Laurie Sweet,D,0.7397,0.2603,-0.8714,128
92,Patricia A. Dillon,D,0.865,0.135,-0.8454,118
93,Toni E. Walker,D,0.865,0.135,-0.8181,101
94,Steven B. Winter,D,0.8165,0.1835,-0.8505,122
95,Juan R. Candelaria,D,0.865,0.135,-0.7646,75
96,Roland J. Lemar,D,0.865,0.135,-0.9530,145
97,"Alphonse Paolillo, Jr.",D,0.865,0.135,-0.7968,83
98,Moira Rader,D,0.6337,0.3663,-0.8456,120
99,Joseph H. Zullo,R,0.5022,0.4978,0.6283,41
100,Kai Juanna Belton,D,0.656,0.344,-0.8252,111
101,John-Michael Parker,D,0.5679,0.4321,-0.8113,91
102,Robin E. Comey,D,0.5981,0.4019,-0.8440,117
103,Liz Linehan,D,0.5728,0.4272,-0.8729,129
104,Kara Rochelle,D,0.5563,0.4437,-1.0000,153
105,Nicole Klarides-Ditria,R,0.4436,0.5564,0.6812,33
106,Mitch Bolinsky,R,0.5375,0.4625,0.6873,32
107,Martin J. Foncello,R,0.4986,0.5014,0.7078,27
108,Patrick Callahan,R,0.4955,0.5045,0.6962,30
109,Farley A. Santos,D,0.5758,0.4242,-0.7949,82
110,Bob Godfrey,D,0.5758,0.4242,-0.8016,86
111,Aimee Berger-Girvalo,D,0.5873,0.4127,-0.9460,144
112,Tony J. Scott,R,0.481,0.519,0.7035,29
113,Amy Romano,R,0.449,0.551,0.7113,25
114,Mary Welander,D,0.5889,0.4111,-0.8298,114
115,"William J. Heffernan, III",D,0.6505,0.3495,-0.5418,57
116,Treneé McGee,D,0.6505,0.3495,-0.6962,65
117,MJ Shannon,D,0.5848,0.4152,-0.9125,139
118,Frank Smith,D,0.5497,0.4503,-0.7564,74
119,Kathy Kennedy,R,0.5445,0.4555,0.6581,36
120,Kaitlyn Shake,D,0.6132,0.3868,-0.9013,135
121,Joseph P. Gresko,D,0.6132,0.3868,-0.6980,66
122,Ben McGorty,R,0.4922,0.5078,0.6670,34
123,David J. Rutigliano,R,0.52,0.48,0.6402,38
124,"Andre F. Baker, Jr.",D,0.7988,0.2012,-0.8412,116
125,Tom O'Dea,R,0.553,0.447,0.6327,39
126,"Fred Gee, Jr.",D,0.7988,0.2012,-0.8166,96
127,Marcus A. Brown,D,0.7988,0.2012,-0.8237,109
128,Christopher Rosario,D,0.7988,0.2012,-0.8811,131
129,Steven J. Stafstrom,D,0.7988,0.2012,-0.9243,141
130,Antonio D. Felipe,D,0.7988,0.2012,-0.8906,133
131,Arnold Jensen,R,0.4266,0.5734,0.7830,20
132,Jennifer Leeper,D,0.6036,0.3964,-0.7758,79
133,Cristin McCarthy Vahey,D,0.6434,0.3566,-0.7990,84
134,Sarah Keitt,D,0.5792,0.4208,-0.9996,149
135,Anne M. Hughes,D,0.6188,0.3812,-0.8884,132
136,Jonathan Steinberg,D,0.6903,0.3097,-0.7397,71
137,Kadeem Roberts,D,0.6608,0.3392,-0.8156,95
138,Kenneth M. Gucker,D,0.5758,0.4242,-0.8180,100
139,Larry Pemberton,D,0.5936,0.4064,-0.8223,104
140,Travis Simms,D,0.6608,0.3392,-0.9564,146
141,Tracy Marra,R,0.5202,0.4798,0.6642,35
142,Lucy Dathan,D,0.6468,0.3532,-0.8088,90
143,Dominique E. Johnson,D,0.6653,0.3347,-0.8233,108
144,Hubert Delany,D,0.6602,0.3398,-0.8204,102
145,Corey P. Paris,D,0.6602,0.3398,-0.8574,123
146,Eilish Collins Main,D,0.6602,0.3398,-0.8176,98
147,Matt Blumenthal,D,0.6602,0.3398,-0.8481,121
148,Jonathan Jacobson,D,0.6602,0.3398,-0.8224,105
149,Tina Courpas,R,0.5928,0.4072,0.7047,28
150,Stephen R. Meskers,D,0.5567,0.4433,-0.5221,56
151,Hector Arzeno,D,0.5567,0.4433,-0.5988,59
