legislator,party,dem_alignment,n_party_split_votes,terms
ACKERT,R,0.154,350,23-24+25-26
ALLIE-BRENNAN,D,0.903,339,23-24+25-26
ANDERSON,R,0.072,345,23-24+25-26
ANISKOVICH,R,0.131,343,23-24+25-26
ARNONE,D,0.986,148,23-24
ARZENO,D,0.918,341,23-24+25-26
BAKER,D,0.967,338,23-24+25-26
BARRY,D,0.799,344,23-24+25-26
BELTON,D,0.988,343,23-24+25-26
BERGER-GIRVALO,D,0.983,345,23-24+25-26
BIGGINS,D,0.979,190,25-26
BLUMENTHAL,D,1.000,351,23-24+25-26
BOLINSKY,R,0.095,325,23-24+25-26
BORER,D,0.939,98,23-24
BOYD,D,0.813,327,23-24+25-26
BRONKO,R,0.077,351,23-24+25-26
"BROWN, K.",D,0.991,351,23-24+25-26
"BROWN, M.",D,0.976,330,23-24+25-26
BUCHSBAUM,R,0.113,186,25-26
BUCKBEE,R,0.097,351,23-24+25-26
BUMGARDNER,D,0.977,351,23-24+25-26
BUTLER,D,0.943,335,23-24+25-26
CALLAHAN,R,0.087,344,23-24+25-26
"CANDELARIA, J.",D,0.958,335,23-24+25-26
"CANDELORA, V.",R,0.074,351,23-24+25-26
CANINO,R,0.032,190,25-26
CARNEY,R,0.216,348,23-24+25-26
CARPINO,R,0.142,351,23-24+25-26
CASE,R,0.034,351,23-24+25-26
CHAFEE,D,0.965,312,23-24+25-26
CHALESKI,R,0.269,160,23-24
CHEESEMAN,R,0.242,161,23-24
COLLINS MAIN,D,0.994,169,25-26
COMEY,D,0.952,331,23-24+25-26
CONCEPCION,D,0.986,351,23-24+25-26
CONLEY,D,0.975,161,23-24
CONSTANTINE,D,0.952,189,25-26
COOK,D,0.882,161,23-24
COOLEY,R,0.182,159,23-24
COURPAS,R,0.085,189,25-26
CURREY,D,0.994,157,23-24
D'AGOSTINO,D,0.968,156,23-24
DANCHO,R,0.119,160,23-24
DATHAN,D,0.960,350,23-24+25-26
DAUPHINAIS,R,0.017,350,23-24+25-26
DECAPRIO,R,0.034,348,23-24+25-26
DEFRONZO,D,0.973,188,25-26
DELANY,D,0.994,314,23-24+25-26
DELNICKI,R,0.287,349,23-24+25-26
DEMICCO,D,0.994,347,23-24+25-26
DENNING,D,0.953,149,23-24
DIGIOVANCARLO,D,0.796,323,23-24+25-26
DILLON,D,0.985,342,23-24+25-26
DOUCETTE,D,0.974,351,23-24+25-26
DUBITSKY,R,0.060,350,23-24+25-26
ELLIOTT,D,0.982,331,23-24+25-26
EXUM,D,0.991,335,23-24+25-26
FARRAR,D,0.986,348,23-24+25-26
FAZZINO,D,0.960,346,23-24+25-26
FELIPE,D,0.983,347,23-24+25-26
FERRARO,R,0.079,151,23-24
FIGUEROA,D,0.924,157,23-24
FISHBEIN,R,0.051,336,23-24+25-26
FONCELLO,R,0.069,346,23-24+25-26
FORTIER,D,0.983,348,23-24+25-26
FOSTER,D,0.928,349,23-24+25-26
GAIEWSKI,D,0.984,183,25-26
GARIBAY,D,0.989,350,23-24+25-26
GAUTHIER,D,0.995,190,25-26
GEE,D,0.991,341,23-24+25-26
GENGA,D,0.977,344,23-24+25-26
GIBSON,D,0.969,290,23-24+25-26
GILCHREST,D,0.997,333,23-24+25-26
GODFREY,D,0.959,345,23-24+25-26
GONZALEZ,D,0.833,329,23-24+25-26
GRESKO,D,0.952,351,23-24+25-26
GUCKER,D,0.974,190,25-26
HADDAD,D,0.991,350,23-24+25-26
HAINES,R,0.053,337,23-24+25-26
"HALL, C.",R,0.122,329,23-24+25-26
"HALL, J.",D,0.981,315,23-24+25-26
HARRISON,R,0.037,161,23-24
HAYES,R,0.035,144,23-24
HEFFERNAN,D,0.895,248,23-24+25-26
HORN,D,0.968,345,23-24+25-26
HOWARD,R,0.189,339,23-24+25-26
HOXHA,R,0.088,331,23-24+25-26
HUGHES,D,0.991,345,23-24+25-26
JACOBSON,D,0.989,190,25-26
JENSEN,R,0.032,190,25-26
"JOHNSON, D.",D,0.983,351,23-24+25-26
"JOHNSON, S.",D,0.962,346,23-24+25-26
KAVROS DEGRAW,D,0.974,350,23-24+25-26
KEITT,D,0.977,350,23-24+25-26
KENNEDY,R,0.155,349,23-24+25-26
KHAN,D,0.988,342,23-24+25-26
KHANNA,D,0.944,161,23-24
KLARIDES-DITRIA,R,0.097,351,23-24+25-26
LABRIOLA,R,0.116,138,23-24
LAMARK MUIR,D,0.984,190,25-26
LANOUE,R,0.061,345,23-24+25-26
LEEPER,D,0.960,350,23-24+25-26
LEMAR,D,0.971,346,23-24+25-26
LINEHAN,D,0.958,332,23-24+25-26
LUXENBERG,D,0.985,341,23-24+25-26
MARRA,R,0.148,351,23-24+25-26
"MARTINEZ, R.",D,0.979,189,25-26
MASTROFRANCESCO,R,0.012,338,23-24+25-26
MCCARTHY VAHEY,D,0.974,344,23-24+25-26
"MCCARTY, K.",R,0.371,159,23-24
MCGEE,D,0.961,333,23-24+25-26
"MCGORTY, B.",R,0.106,340,23-24+25-26
MENAPACE,D,0.995,190,25-26
MESKERS,D,0.863,351,23-24+25-26
MICHEL,D,0.975,157,23-24
MORRIN BELLO,D,0.991,343,23-24+25-26
MUSHINSKY,D,0.958,312,23-24+25-26
NAPOLI,D,0.928,347,23-24+25-26
NOLAN,D,0.971,346,23-24+25-26
NUCCIO,R,0.101,346,23-24+25-26
O'DEA,R,0.157,331,23-24+25-26
OSBORNE,D,0.945,347,23-24+25-26
PALM,D,0.988,160,23-24
PAOLILLO,D,0.980,349,23-24+25-26
PARIS,D,0.994,321,23-24+25-26
PARKER,D,0.983,348,23-24+25-26
PAVALOCK-D'AMATO,R,0.067,330,23-24+25-26
PEMBERTON,D,0.985,67,25-26
PERILLO,R,0.161,155,23-24+25-26
PISCOPO,R,0.014,351,23-24+25-26
PIZZUTO,R,0.046,347,23-24+25-26
POLLETTA,R,0.069,349,23-24+25-26
PORTER,D,0.961,155,23-24
POULOS,D,0.774,345,23-24+25-26
QUINN,D,0.940,351,23-24+25-26
RADER,D,0.983,343,23-24+25-26
REDDINGTON-HUGHES,R,0.014,351,23-24+25-26
REYES,D,0.877,316,23-24+25-26
RITTER,D,0.977,351,23-24+25-26
ROBERTS,D,0.986,350,23-24+25-26
ROCHELLE,D,0.979,341,23-24+25-26
ROJAS,D,0.991,351,23-24+25-26
ROMANO,R,0.040,174,25-26
ROSARIO,D,0.970,332,23-24+25-26
RUTIGLIANO,R,0.171,351,23-24+25-26
RYAN,D,0.988,246,23-24+25-26
"SANCHEZ, E.",D,0.985,341,23-24+25-26
"SANCHEZ, I.",D,0.985,67,25-26
"SANCHEZ, J.",D,0.976,339,23-24+25-26
"SANCHEZ, R.",D,0.949,254,23-24+25-26
SANTANELLA,D,0.897,185,25-26
SANTIAGO,D,0.957,350,23-24+25-26
SANTOS,D,0.971,341,23-24+25-26
SCOTT,R,0.092,336,23-24+25-26
SHAKE,D,0.984,190,25-26
SHANNON,D,0.995,190,25-26
SIMMS,D,0.974,306,23-24+25-26
SMITH,D,0.971,349,23-24+25-26
STAFSTROM,D,0.991,329,23-24+25-26
STEINBERG,D,0.950,337,23-24+25-26
STEWART,R,0.090,89,25-26
SWEET,D,0.995,190,25-26
TERCYAK,D,0.954,151,23-24
TURCO,D,0.983,351,23-24+25-26
VAIL,R,0.085,351,23-24+25-26
VEACH,R,0.003,305,23-24+25-26
WALKER,D,0.980,304,23-24+25-26
WEIR,R,0.034,350,23-24+25-26
WELANDER,D,0.964,336,23-24+25-26
WILLIAMS,D,,0,23-24
WILSON,D,0.986,350,23-24+25-26
WINTER,D,0.989,190,25-26
WOOD,D,0.867,330,23-24+25-26
YACCARINO,R,0.134,351,23-24+25-26
ZAWISTOWSKI,R,0.043,350,23-24+25-26
ZULLO,R,0.134,336,23-24+25-26
