Rank,District,Pupils,Gen Admin PPE,Total PPE
1,Easton,896,430,23151
2,Redding,858,479,30448
3,Lisbon,588,570,20397
4,Woodstock,1129,580,20916
5,Orange,1261,582,20523
6,Marlborough,465,593,19368
7,Ashford,354,606,26551
8,Brooklyn,1161,647,20250
9,Canterbury,672,649,19867
10,Andover,241,727,19009
11,Hebron,688,776,21439
12,Pomfret,512,823,23489
13,Sprague,387,862,21209
14,Union,74,862,26736
15,Willington,382,975,28966
16,Cornwall,89,985,40205
17,Salisbury,289,991,30989
18,Winchester,1104,1012,23264
19,Sterling,451,1020,21100
20,North Canaan,249,1043,25810
21,Mansfield,978,1057,27651
22,Chaplin,164,1088,26109
23,Bozrah,256,1136,25699
24,Woodbridge,872,1166,20768
25,Eastford,221,1175,22476
26,Barkhamsted,229,1194,21860
27,Sharon,102,1252,48747
28,Canaan,73,1316,39520
29,Essex,309,1316,28206
30,Hartland,195,1382,30256
31,Hampton,84,1464,27773
32,Scotland,103,1507,26826
33,Kent,181,1564,35130
34,Voluntown,311,1576,25110
35,Deep River,219,1666,28818
36,Preston,614,1668,25820
37,Columbia,618,1734,22557
38,Bethany,432,1806,19937
39,Chester,215,1844,28172
40,New Hartford,441,2060,24538
41,Sherman,344,2067,29686
42,Franklin,252,2275,23258
43,Colebrook,66,2672,33373
44,Salem,556,2936,21747
45,Norfolk,64,3700,46016
