Rank,District,Pupils,Total PPE,Gen Admin PPE,School Admin PPE,Central Support PPE,All Admin PPE,Instruction PPE
1,Andover,241,19009,727,1018,586,2331,11579
2,Marlborough,465,19368,593,1386,439,2418,12288
3,Canterbury,672,19867,649,1109,399,2157,13232
4,Bethany,432,19937,1806,1091,5,2902,12622
5,Brooklyn,1161,20250,647,1077,704,2428,14816
6,Lisbon,588,20397,570,1015,744,2329,13916
7,Orange,1261,20523,582,882,226,1690,11259
8,Woodbridge,872,20768,1166,1043,654,2863,13033
9,Woodstock,1129,20916,580,1312,836,2728,15547
10,Sterling,451,21100,1020,1303,474,2797,14260
11,Sprague,387,21209,862,1053,705,2620,15145
12,Hebron,688,21439,776,1350,985,3111,12214
13,Salem,556,21747,2936,1667,1064,5667,12390
14,Barkhamsted,229,21860,1194,1297,462,2953,13095
15,Eastford,221,22476,1175,1243,76,2494,16570
16,Columbia,618,22557,1734,1346,442,3522,12892
17,Easton,896,23151,430,1988,475,2893,15025
18,Franklin,252,23258,2275,671,471,3417,16195
19,Winchester,1104,23264,1012,1347,996,3355,17852
20,Pomfret,512,23489,823,1538,691,3052,16071
21,New Hartford,441,24538,2060,1368,23,3451,15253
22,Voluntown,311,25110,1576,1183,586,3345,15780
23,Bozrah,256,25699,1136,1492,989,3617,15467
24,North Canaan,249,25810,1043,1256,629,2928,18545
25,Preston,614,25820,1668,1147,229,3044,15181
26,Chaplin,164,26109,1088,1511,779,3378,14345
27,Ashford,354,26551,606,2025,1367,3998,15955
28,Union,74,26736,862,0,3240,4102,14998
29,Scotland,103,26826,1507,1580,867,3954,17492
30,Mansfield,978,27651,1057,2427,907,4391,16334
31,Hampton,84,27773,1464,2929,1056,5449,14754
32,Chester,215,28172,1844,2375,-129,4090,17600
33,Essex,309,28206,1316,2001,334,3651,18811
34,Deep River,219,28818,1666,2752,559,4977,18062
35,Willington,382,28966,975,1395,1117,3487,18501
36,Sherman,344,29686,2067,3171,935,6173,18859
37,Hartland,195,30256,1382,2363,1162,4907,19155
38,Redding,858,30448,479,1746,498,2723,20270
39,Salisbury,289,30989,991,1972,615,3578,21081
40,Colebrook,66,33373,2672,2794,1476,6942,21294
41,Kent,181,35130,1564,1858,564,3986,23439
42,Canaan,73,39520,1316,4020,779,6115,24982
43,Cornwall,89,40205,985,4781,777,6543,25534
44,Norfolk,64,46016,3700,4256,0,7956,23710
45,Sharon,102,48747,1252,4554,856,6662,28928
