region,leaid,grades,member_town,town_in_universe
Region 01 (Housatonic Valley),0903600,9-12,Canaan,yes
Region 01 (Housatonic Valley),0903600,9-12,Cornwall,yes
Region 01 (Housatonic Valley),0903600,9-12,Kent,yes
Region 01 (Housatonic Valley),0903600,9-12,North Canaan,yes
Region 01 (Housatonic Valley),0903600,9-12,Salisbury,yes
Region 01 (Housatonic Valley),0903600,9-12,Sharon,yes
Region 04 (Chester-Deep River-Essex),0903630,7-12,Chester,yes
Region 04 (Chester-Deep River-Essex),0903630,7-12,Deep River,yes
Region 04 (Chester-Deep River-Essex),0903630,7-12,Essex,yes
Region 07 (Northwest Corner),0903720,7-12,Barkhamsted,yes
Region 07 (Northwest Corner),0903720,7-12,Colebrook,yes
Region 07 (Northwest Corner),0903720,7-12,New Hartford,yes
Region 07 (Northwest Corner),0903720,7-12,Norfolk,yes
Region 08 (RHAM),0903750,7-12,Andover,yes
Region 08 (RHAM),0903750,7-12,Hebron,yes
Region 08 (RHAM),0903750,7-12,Marlborough,yes
Region 09 (Easton-Redding),0903780,9-12,Easton,yes
Region 09 (Easton-Redding),0903780,9-12,Redding,yes
Region 11 (Parish Hill),0903570,7-12,Chaplin,yes
Region 11 (Parish Hill),0903570,7-12,Hampton,yes
Region 11 (Parish Hill),0903570,7-12,Scotland,yes
Region 13 (Durham-Middlefield),0903535,PK-12,Durham,yes
Region 13 (Durham-Middlefield),0903535,PK-12,Middlefield,no
Region 17 (Haddam-Killingworth),0903539,PK-12,Haddam,yes
Region 17 (Haddam-Killingworth),0903539,PK-12,Killingworth,yes
Region 18 (Lyme-Old Lyme),0903540,PK-12,Lyme,yes
Region 18 (Lyme-Old Lyme),0903540,PK-12,Old Lyme,no
Region 19 (E.O. Smith),0900005,9-12,Ashford,yes
Region 19 (E.O. Smith),0900005,9-12,Mansfield,yes
Region 19 (E.O. Smith),0900005,9-12,Willington,yes
