town,ring,in_45_elementary_peers,leaid,notes
Andover,0,yes,0900030,
Ashford,3,yes,0900090,
Barkhamsted,,yes,0900150,
Bethany,,yes,0900240,
Bolton,1,no,0900360,
Bozrah,2,yes,0900390,
Brooklyn,,yes,0900570,
Canaan,,yes,0900630,
Canterbury,,yes,0900660,
Chaplin,3,yes,0900720,
Chester,3,yes,0900780,
Colchester,1,no,0900840,
Colebrook,,yes,0900870,
Columbia,1,yes,0900900,
Cornwall,,yes,0900930,
Coventry,1,no,0900960,
Cromwell,3,no,0900990,
Deep River,,yes,0901080,
Durham,3,no,,no local LEA; member of a preK-12 regional (see region CSVs)
East Haddam,2,no,0901200,
East Hampton,1,no,0901230,
East Hartford,2,no,0901260,
East Lyme,3,no,0901320,
Eastford,,yes,0901380,
Easton,,yes,0901410,
Ellington,3,no,0901440,
Essex,,yes,0901500,
Franklin,2,yes,0901590,
Glastonbury,1,no,0901620,
Haddam,2,no,,no local LEA; member of a preK-12 regional (see region CSVs)
Hampton,,yes,0901890,
Hartford,3,no,0901920,
Hartland,,yes,0901950,
Hebron,0,yes,0902010,
Kent,,yes,0902040,
Killingworth,3,no,,no local LEA; member of a preK-12 regional (see region CSVs)
Lebanon,1,no,0902130,
Lisbon,,yes,0902190,
Lyme,3,no,,no local LEA; member of a preK-12 regional (see region CSVs)
Manchester,2,no,0902310,
Mansfield,2,yes,0902340,
Marlborough,0,yes,0902370,
Middletown,3,no,0902490,
Montville,3,no,0902580,
New Hartford,,yes,0902760,
Newington,3,no,0902880,
Norfolk,,yes,0902940,
North Canaan,,yes,0903000,
Norwich,3,no,0903120,
Orange,,yes,0903210,
Pomfret,,yes,0903360,
Portland,2,no,0903390,
Preston,,yes,0903420,
Redding,,yes,0903510,
Rocky Hill,3,no,0903840,
Salem,2,yes,0903900,
Salisbury,,yes,0903930,
Scotland,3,yes,0903960,
Sharon,,yes,0904020,
Sherman,,yes,0904080,
South Windsor,3,no,0904170,
Sprague,3,yes,0904260,
Stafford,3,no,0904290,
Sterling,,yes,0904350,
Tolland,2,no,0904560,
Union,3,yes,0904650,
Vernon,2,no,0904680,
Voluntown,,yes,0904710,
Wethersfield,2,no,0905070,
Willington,2,yes,0905100,
Winchester,,yes,0905160,
Windham,2,no,0905190,
Woodbridge,,yes,0905310,
Woodstock,,yes,0905370,
Region 01 (Housatonic Valley),,no,0903600,regional district LEA
Region 04 (Chester-Deep River-Essex),,no,0903630,regional district LEA
Region 07 (Northwest Corner),,no,0903720,regional district LEA
Region 08 (RHAM),,no,0903750,regional district LEA
Region 09 (Easton-Redding),,no,0903780,regional district LEA
Region 11 (Parish Hill),,no,0903570,regional district LEA
Region 13 (Durham-Middlefield),,no,0903535,regional district LEA
Region 17 (Haddam-Killingworth),,no,0903539,regional district LEA
Region 18 (Lyme-Old Lyme),,no,0903540,regional district LEA
Region 19 (E.O. Smith),,no,0900005,regional district LEA
